,Rating
MARIA LAURA CUETO,1368.9855828404409
AMAYA ESCUDERO,1425.5694220377236
EMMA MATTIVI,1531.4689111417315
STEFANI MUZAKOVA,1228.4992098112416
MIURA HONOKA,1328.9758429537255
LISBETZY ROJO SALAZAR,1363.4300272848852
CLAUDIA SOBRAL LUSQUINOS,1411.9298846106044
VIOLET STAFFORD,1382.6787911071647
WEAVER HANNE,1424.2923868559178
ALVARO ANTONIO C. BASTOS,1368.2048089900811
ROMI SAFIN,1326.6985802508395
ALBERTO VARILLAS,1422.4011254801273
ZELIC ANA,1402.8744623165674
RAAMAT ELIISE,1398.9549201020068
SOFIA GIOVINAZZO,1296.0961387667728
BOS SARAH,1493.8171210233193
KELLY-ANN ARRINDELL,1259.316020327977
GABRIEL VANTAJO,1362.7994035846757
VAIMO'OI'A RIPLEY,1360.1956437265815
ISABELLA FILIPPO,1349.2463830941747
HANSSON-MILD MAJA,1406.4832842393814
BALTHAZAR REMOTTI,1352.318916173774
VLACHOU MARIA,1315.7445669963556
KRYSTAL WEIR,1463.7509002840127
MARTINA BEZDEKOVA,1244.9271839725734
ANDRE AUBERT,1413.098799898732
GABRIEL TORRE,1346.7633606182183
CIBULE ELZA,1362.0703179573575
BRUNO OLIVEIRA,1351.9885927738649
INES ANTONI,1341.2078050626626
MASTELIC PETRA,1430.772862693335
CARACCIOLO GINEVRA,1513.611768284589
IVO SCAMPINI,1346.5831873684594
SANTIAGO TRINIDAD,1403.796474317337
CRUSEMANN CARLOTTA SOPHIE,1391.0986688547662
FACUNDO ALFARO JAIME,1335.652249507107
CARLSSON JULIA,1472.6489619762037
CONSTANZE STOLZ,1406.4396996469886
TEAU MOANA MCKENZIE,1280.3398241830218
JACINTA AINSWORTH,1488.8953156336695
CONSTANZA OLIVARES,1341.177781963054
MARTIN IGLESIAS,1330.0966939515513
ATTWELL CARYS,1452.4684249266163
SANTORUM ALISS,1506.468911141732
SHNITKO SVETLANA,1337.8385680784875
ANGELA ANDUGAR GISBERT,1345.583659303898
TANIA BENITEZ,1348.8759742057557
ANNIE EASTGATE,1469.411334252915
MARIA JESUS VALDES,1335.7723765576486
JUAN MARTIN PACHECO,1394.494148735942
MARIA JOSE MARICHAL VILLALBA,1301.7113926460672
SABRINA FERRARA,1324.5411383959956
BONET PUIG MAGDALENA,1215.275100103271
AVA ANDERSON,1451.4555078128892
FERNANDA BITAR SIMAN,1343.242171388854
PATRICIA GATTI,1330.3669711522432
MARCELO ADOLFO GONZALEZ PONDAL,1318.98558284044
MILLERET PERINE,1444.135091593283
SOPHIA MORGAN,1370.4139363560992
KEYLA DARANI HERNANDEZ OVIEDO,1337.6083685719525
HELIO ARAUJO,1324.9615657468378
ALEJANDRA VEGA,1385.191823154547
KARLA SAVAR,1332.88714282541
JUAN CRUZ PALOMBO,1313.4300272848843
BRINKERT SIGNE,1439.9684249266165
EVANGELIA KARAGEORGOU,1446.902643259312
ISABELLA MENDOZA CABEZAS,1442.043743107007
ANA PAULA ROJAS,1331.974565755051
FRANCISCO SANTOS,1319.5561603414324
FRANCISCO TRUJILLO,1380.5406603638494
DIANA MARKOVA,1365.4576432137408
MARCELO FREZZA,1307.8744717293287
VYNOHRADOVA YELYZAVETA,1430.619016650349
CINGOLANI GIORGIA,1481.5081775815304
PERELLO MARGA,1339.5953838995629
BROOKE WILSON,1476.2192153946264
DENIS OLIVEIRA,1314.150754936027
SANTIAGO REYNOSO,1375.8894975731519
LARA NALBANTOGLU,1308.1051927746148
ESTHER KOETZEL,1431.6350915932835
ELNAN ELINE FLOTOFT,1371.5233011948444
TALIA HAMLIN,1432.631978401125
LINDSEY BAAB,1432.7387917981114
DANIEL FASBERG,1308.7453495306215
OHRNELL JENNIFER,1404.4516624664586
WANG YAJIE,1236.3220098980119
HABERLAND HENRIETTE,1403.9549925613635
ELIMAR BITTAR,1303.339944125216
MANUELA RODRIGUEZ,1366.5871719917568
DEURINGER GIORGIA,1350.0730278291255
LUQUE GONZALEZ YOLANDA,1444.9830214338997
MIRIAM SITGES NICOLAU,1322.4686172630966
YIXIN LI,1451.9529098046187
LUIS PEDRO CARRERO,1361.9360092010593
FRANCESCHI SARA,1362.518758918139
DE CARINA CARLA,1344.9448227009204
BOJA KRISTINA,1419.1350915932837
CHRISTINE WOOD,1416.0415518364796
MAI KAKIMOTO,1284.7729790043181
FACUNDO GONZALEZ,1357.2848464103618
PILAR IESS FALCON,1235.0829030852728
TODOROVA STANISLAVA,1339.8166175727154
GUMENKO KATERYNA,1282.3765303855628
MARIA DEL PILAR NOGUES,1352.6336836196642
PINA MAR,1261.6696617109994
MANESTAR NIKA,1334.6884124445103
SCHIMAK EVA-MARIA,1335.5646999626342
VALENCIC ALENKA,1470.7546254274462
CABRERA RODRIGUEZ AMERICA,1347.7137773853208
SANLAY CASTRO,1308.5713150314011
YUURI YAMAMOTO,1334.8326048041745
CLAUDIA ADAN LLEDO,1500.0
MARIA GRAZIA GAIDO,1347.9825208289667
WEISSKICHEL LENA MARIE,1299.972498372333
TODOROVA YOANA,1329.5602073163052
HOLTZ JOSEPHINE,1406.635091593284
AVERY BALDWIN,1404.3966842834784
JIA KIM,1376.8302317855253
ERNESTO ELENTER,1343.3313580382692
DIXON IONA,1343.4711398705203
SAHLIN SVEA,1326.202535938172
LISSORGUES EGEA PAULA,1230.7329863627065
CARLA PAOLI,1398.0640237465918
KAILEY WARRIOR,1399.6908019305374
SEUNGHYEON KANG,1430.676314059938
RITA JULIA,1338.7092351086158
DONDONA GILDA,1398.301758259951
ALDERS KULYNYCH-IRVIN,1394.9849195775964
ADRIANA CASTRO NUNEZ,1500.0
FANNY DE SUSINI,1353.38814901847
GUSTAVO ARJONA,1334.0290324568741
SHANG ZI TONG,1435.9603313228113
REKKA ANGELIKI,1244.371754380071
HARTENBERGER ELISA,1327.2021777489585
KELLY MCMURRAY,1390.2790372246554
CHRISTINE NEVILLE,1391.7509002840127
AGIJA ELERTE,1340.5792305168043
FLORENCIA TRINIDAD,1329.3778696661766
ELENA RODRIGUEZ,1329.1854255848064
HU NANA,1417.6325940834738
KNEZEVIC MAJA,1323.9042535757976
MARINA SERRANO,1500.0
ANNA SKAAR,1392.3347513940712
MAFALDA PIRES DE LIMA,1439.3814227059086
VICTORIA CHAN,1367.8946640668717
FERNANDA SAN ROMAN,1324.726706875479
IRAIA BARRIO,1324.4235208229018
ELBA MARTINEZ FIGUERAS,1380.086495656704
BROOKE BOGDAN,1380.8672725187732
GRETA PILKINGTON,1411.4573106327214
FRANCHI FEDERICA,1360.5063947259703
COURTNEY REYNOLDS-SMITH,1430.5049296803402
GABRIEL TRASTENBERG,1315.424381294084
PAULA MARINO,1320.0755440847815
ARTURO MITNIK,1310.7732185033865
LUISA PERES,1365.9533228336131
COMPANY BLANCA,1287.200986134736
CHRISTA ANN GEORGESON,1376.1613901658322
CECILIA WOLLMANN,1379.7509002840127
SINGLETON IRIS,1377.4684249266181
CICCHINE' MARIA GIULIA,1442.183196856018
HU XIAOYU,1418.2612162785636
VIDELO CHARLOTTE,1373.3017582599516
KOURAVELOU ARGYRO,1438.6117682845895
FOMICHEVA ALINA,1403.9573804082609
