Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
MELZACKA Aleksandra JANKOWIAK Sandra,7,49erFX,1,G,10,,152,134,Semaine Olympique Francaise De Voile 2022
TEN HOVE Alexandra / MILLEN Mariah,7,49erFX,6,G,11,,137,119,Semaine Olympique Francaise De Voile 2022
ALEH Jo / TSC/TYPBCMEECH Molly,7,49erFX,4,G,12,,142,123,Semaine Olympique Francaise De Voile 2022
GIUNCHIGLIA Sofia /SCHIO Gulia,7,49erFX,5,G,13,,138.13,123.13,Semaine Olympique Francaise De Voile 2022
BRICKWOOD Megan / ORTON Stéphanie,7,49erFX,11,G,14,,142,126,Semaine Olympique Francaise De Voile 2022
SUAREZ Patricia / RCN CANTERO Maria,7,49erFX,6,G,15,,141,126,Semaine Olympique Francaise De Voile 2022
VAN AANHOLT Odile / SIEWERS Emma,7,49erFX,4,G,16,,147,127,Semaine Olympique Francaise De Voile 2022
HARDING Laura / WILMOT Annie,7,49erFX,12,G,17,,154,134,Semaine Olympique Francaise De Voile 2022
PICON Charline / LA STEYEART Sarah,7,49erFX,2,G,18,,161,143,Semaine Olympique Francaise De Voile 2022
DAHL ANDER Pia / EDLAND Nora,7,49erFX,12,G,19,,163,144,Semaine Olympique Francaise De Voile 2022
OMARI Carlotta / SEZ CARRARO Sveva,7,49erFX,10,G,20,,100,84,Semaine Olympique Francaise De Voile 2022
BLACK Freya / WPNSATIDEY Saskia,7,49erFX,7,G,21,,105,85,Semaine Olympique Francaise De Voile 2022
SICOURI Silvia / MARCHESINI Maria,7,49erFX,3,G,22,,101,86,Semaine Olympique Francaise De Voile 2022
LOVADINA Mathilde / RIOU Marine,7,49erFX,8,G,23,,113,93,Semaine Olympique Francaise De Voile 2022
PASSAMONTI Arianna FAVA Gulia,7,49erFX,11,G,24,,116,98,Semaine Olympique Francaise De Voile 2022
PRICE Olivia / MHYC / HASELDINE Evie,7,49erFX,14,G,25,,119,99,Semaine Olympique Francaise De Voile 2022
