Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
BERTHET Mathias NILSEN Jeppe,7,49er,12,G,42,,207.0,178.0,Semaine Olympique Francaise De Voile 2022
KORHONEN VilleBREMER Edvard,7,49er,-29,G,43,,215.0,186.0,Semaine Olympique Francaise De Voile 2022
BUTOWSKI TytusMACHOWSKI Lukasz,7,49er,21,G,44,,227.0,195.0,Semaine Olympique Francaise De Voile 2022
KELAPANDATHAKKAR Varun,7,49er,22,G,45,,232.0,200.0,Semaine Olympique Francaise De Voile 2022
PIETZCKER Paul VON OPPEN Linus,7,49er,16,G,46,,235.0,210.0,Semaine Olympique Francaise De Voile 2022
DE JONGHE Arthur HEUNINCK Jan,7,49er,DNF (32),G,47,,244.0,212.0,Semaine Olympique Francaise De Voile 2022
HENRY Otto DAVEY Miles,7,49er,DNS 32,G,48,,249.0,217.0,Semaine Olympique Francaise De Voile 2022
BERGSTROM Fredrik MUNKBY Axel,7,49er,15,G,49,,248.0,222.0,Semaine Olympique Francaise De Voile 2022
WIZNER Martin WIZNER Jaime,7,49er,DNS 32,G,50,,258.0,226.0,Semaine Olympique Francaise De Voile 2022
LITTLECHILD Ryan HILDEBRAND Jack,7,49er,26,G,51,,265.0,233.0,Semaine Olympique Francaise De Voile 2022
DE VOS Wiebrand MOLIAKOV Aleksander,7,49er,17,G,52,,270.0,240.0,Semaine Olympique Francaise De Voile 2022
NOBLE Prince FRANCIS Manu,7,49er,DNF 32,G,53,,275.0,243.0,Semaine Olympique Francaise De Voile 2022
KIM KYOUNGDUKBAE Sangwoo,7,49er,18,G,54,,273.0,245.0,Semaine Olympique Francaise De Voile 2022
KAGIALIS Pavlos ORFANOS Ioannis,7,49er,24,G,55,,286.0,254.0,Semaine Olympique Francaise De Voile 2022
CHAE BONGJINSHIN Sangmin,7,49er,23,G,56,,307.0,275.0,Semaine Olympique Francaise De Voile 2022
GOULON Corentin BERTIN Youenn,7,49er,DNF 32,G,57,,315.0,283.0,Semaine Olympique Francaise De Voile 2022
KENNISH MaloMARTIN Anatole,7,49er,DNF (32),G,58,,316.0,284.0,Semaine Olympique Francaise De Voile 2022
MASCIA Gianmarco CORDINI Pietro,7,49er,DNF (32),G,59,,344.0,312.0,Semaine Olympique Francaise De Voile 2022
BUKSAK Dominik / KS WIERZBICKI Szymon,7,49er,1,G,1,,89.0,66.0,Semaine Olympique Francaise De Voile 2022
